,t,x,y,z,r,theta,phi
0,982.0,0.0,0.0,57.10622447419138,57.10622447419138,0.0,0.0
1,1182.0,0.0,0.0,71.30479691294596,71.30479691294596,1.0,0.0
2,1383.0,0.0,0.0,94.6804425061942,94.6804425061942,2.0,0.0
3,1585.0,0.0,0.0,94.0056802005104,94.0056802005104,3.0,0.0
4,1785.0,0.0,0.0,51.9914054414069,51.9914054414069,4.0,0.0
5,1986.0,0.0,0.0,67.0066546865192,67.0066546865192,5.0,0.0
6,2187.0,0.0,0.0,73.32309077497675,73.32309077497675,6.0,0.0
7,2387.0,0.0,0.0,49.28904193001591,49.28904193001591,7.0,0.0
8,2589.0,0.0,0.0,75.94174241809873,75.94174241809873,8.0,0.0
9,2790.0,0.0,0.0,88.78080127417348,88.78080127417348,9.0,0.0
10,2991.0,0.0,0.0,54.96588630368086,54.96588630368086,10.0,0.0
11,3191.0,0.0,0.0,77.56484165534297,77.56484165534297,11.0,0.0
12,3393.0,0.0,0.0,88.78080127417348,88.78080127417348,12.0,0.0
13,3594.0,0.0,0.0,85.66902933198483,85.66902933198483,13.0,0.0
14,3794.0,0.0,0.0,83.26303131594403,83.26303131594403,14.0,0.0
15,3995.0,0.0,0.0,61.78121452676001,61.78121452676001,15.0,0.0
16,4197.0,0.0,0.0,51.36780413012676,51.36780413012676,16.0,0.0
17,4398.0,0.0,0.0,82.0874614824246,82.0874614824246,17.0,0.0
18,4598.0,0.0,0.0,85.66902933198483,85.66902933198483,18.0,0.0
19,4799.0,0.0,0.0,83.26303131594403,83.26303131594403,19.0,0.0
20,5000.0,0.0,0.0,54.96588630368086,54.96588630368086,20.0,0.0
21,5201.0,0.0,0.0,85.06062965502335,85.06062965502335,21.0,0.0
22,5402.0,0.0,0.0,86.89973194219286,86.89973194219286,22.0,0.0
23,5603.0,0.0,0.0,83.26303131594403,83.26303131594403,23.0,0.0
24,5804.0,0.0,0.0,83.26303131594403,83.26303131594403,24.0,0.0
25,6005.0,0.0,0.0,54.28073391096629,54.28073391096629,25.0,0.0
26,6206.0,0.0,0.0,85.66902933198483,85.66902933198483,26.0,0.0
27,6407.0,0.0,0.0,80.92999481344805,80.92999481344805,27.0,0.0
28,6607.0,0.0,0.0,101.69868101446886,101.69868101446886,28.0,0.0
29,6809.0,0.0,0.0,86.28205771046453,86.28205771046453,29.0,0.0
30,7010.0,0.0,0.0,74.88139045665923,74.88139045665923,30.0,0.0
31,7211.0,0.0,0.0,77.56484165534297,77.56484165534297,31.0,0.0
32,7411.0,0.0,0.0,54.28073391096629,54.28073391096629,32.0,0.0
33,7613.0,0.0,0.0,79.79049409517114,79.79049409517114,33.0,0.0
34,7814.0,0.0,0.0,83.26303131594403,83.26303131594403,34.0,0.0
35,8014.0,0.0,0.0,80.92999481344805,80.92999481344805,35.0,0.0
36,8215.0,0.0,0.0,79.79049409517114,79.79049409517114,36.0,0.0
37,8417.0,0.0,0.0,75.94174241809873,75.94174241809873,37.0,0.0
38,8617.0,0.0,0.0,75.4094064521936,75.4094064521936,38.0,0.0
39,8818.0,0.0,0.0,67.0066546865192,67.0066546865192,39.0,0.0
40,9019.0,0.0,0.0,73.32309077497675,73.32309077497675,40.0,0.0
41,9221.0,0.0,0.0,73.32309077497675,73.32309077497675,41.0,0.0
42,9421.0,0.0,0.0,71.30479691294596,71.30479691294596,42.0,0.0
43,9622.0,0.0,0.0,80.35800728633737,80.35800728633737,43.0,0.0
44,9823.0,0.0,0.0,83.85764779873335,83.85764779873335,44.0,0.0
45,10024.0,0.0,0.0,97.42835150367333,97.42835150367333,45.0,0.0
46,10225.0,0.0,0.0,114.79562995970969,114.79562995970969,46.0,0.0
47,10426.0,0.0,0.0,118.93715612202357,118.93715612202357,47.0,0.0
48,10628.0,0.0,0.0,82.67297492775126,82.67297492775126,48.0,0.0
49,10828.0,0.0,0.0,126.73465786992469,126.73465786992469,49.0,0.0
50,11029.0,0.0,0.0,85.66902933198483,85.66902933198483,50.0,0.0
51,11230.0,0.0,0.0,149.76848678013158,149.76848678013158,51.0,0.0
52,11431.0,0.0,0.0,104.64614552622234,104.64614552622234,52.0,0.0
53,11632.0,0.0,0.0,134.98349539978693,134.98349539978693,53.0,0.0
54,11833.0,0.0,0.0,75.4094064521936,75.4094064521936,54.0,0.0
55,12035.0,0.0,0.0,77.01944286794301,77.01944286794301,55.0,0.0
56,12235.0,0.0,0.0,80.92999481344805,80.92999481344805,56.0,0.0
57,12436.0,0.0,0.0,87.52206917890015,87.52206917890015,57.0,0.0
58,12638.0,0.0,0.0,109.22095382755316,109.22095382755316,58.0,0.0
59,12838.0,0.0,0.0,103.16226397732777,103.16226397732777,59.0,0.0
60,13039.0,0.0,0.0,118.93715612202357,118.93715612202357,60.0,0.0
61,13240.0,0.0,0.0,106.91032785366332,106.91032785366332,61.0,0.0
