,t,x,y,z,r,phi,theta
0,753.0,20.953440863968442,41.80631384897086,-23.43794078557159,247.0,0.0,0.0
1,784.0,-46.451013137050296,1.6453181730363053,-23.295977043769,248.0,0.0,2.0
2,816.0,22.98496640882982,-55.31860153125894,-30.02391407010726,209.0,0.0,4.0
3,846.0,53.58924429016858,57.77905532463795,-39.4972799789413,170.0,0.0,6.0
4,877.0,-108.35785757125025,35.739282779596444,-57.18704349582172,118.0,0.0,8.0
5,908.0,11.248545097102408,-101.27801869441035,-51.07294933339597,134.0,0.0,10.0
6,939.0,111.73078161619917,66.94684954344571,-65.28278946096735,99.0,0.0,12.0
7,969.0,-85.20108729500272,58.5116498300805,-51.80322582413034,132.0,0.0,14.0
8,1000.0,-21.012961351934315,-120.55183289304568,-61.331922590717745,108.0,0.0,16.0
9,1031.0,114.30109267508666,29.994592985401894,-59.2276980615543,113.0,0.0,18.0
10,1062.0,-87.75483214020416,107.23288749816507,-69.44833807247603,90.0,0.0,20.0
11,1093.0,-44.21796837888409,-90.20826359141243,-50.35219847682958,136.0,0.0,22.0
12,1124.0,146.26804178685558,-3.88495492394625,-73.33580376320623,82.0,0.0,24.0
13,1155.0,-39.647871753775185,93.08766443475962,-50.71138704346071,135.0,0.0,26.0
14,1185.0,-84.15483111640779,-92.36075007193071,-62.625370523031805,105.0,0.0,28.0
15,1216.0,127.52098116582346,-40.81186446637405,-67.10730745376738,95.0,0.0,30.0
16,1247.0,-15.63099293277168,130.21956458521086,-65.73492415827158,98.0,0.0,32.0
17,1278.0,-114.23979673163014,-69.83178188641479,-67.10730745376738,95.0,0.0,34.0
18,1309.0,103.62240052058125,-69.8207839001612,-62.625370523031805,105.0,0.0,36.0
19,1340.0,19.53202302436852,118.23265555348382,-60.06170568094289,111.0,0.0,38.0
20,1371.0,-110.87832234788539,-30.14788370366061,-57.59013492332098,117.0,0.0,40.0
21,1401.0,80.54345117000919,-96.66239000373437,-63.0617181476997,104.0,0.0,42.0
22,1432.0,45.953230541054495,95.88663264570467,-53.29260163571477,128.0,0.0,44.0
23,1464.0,-110.91505178503967,1.9637176373339873,-55.599644656924895,122.0,0.0,46.0
24,1495.0,20.820413651850405,-47.70764583943153,-26.08908097972914,230.0,0.0,48.0
25,1525.0,66.52760166581335,74.32562989960412,-49.995375948264694,137.0,0.0,50.0
26,1556.0,-92.5943567502123,28.732923453190043,-48.59159250991031,141.0,0.0,52.0
27,1587.0,13.132518081680862,-101.78319931063551,-51.43689303187322,133.0,0.0,54.0
28,1617.0,99.57695470204953,62.086127967168466,-58.81451229228481,114.0,0.0,56.0
29,1649.0,-97.89339109437228,64.70812293471289,-58.81451229228481,114.0,0.0,58.0
30,1680.0,-17.600030699199298,-112.73402569951344,-57.18704349582172,118.0,0.0,60.0
